Product Card Id,Product Name,Product Category Id,Category Name,Department Id,Department Name,Product Price
835,Bridgestone e6 Straight Distance NFL Carolina,37,Electronics,6,Outdoors,31.99
276,Under Armour Women's Ignite Slide,13,Electronics,3,Footwear,31.99
823,Titleist Pro V1x High Numbers Personalized Go,37,Electronics,6,Outdoors,51.99
203,GoPro HERO3+ Black Edition Camera,10,Strength Training,3,Footwear,399.99
364,Total Gym 1400,17,Cleats,4,Apparel,299.99
1350,Children's heaters,63,Children's Clothing,4,Apparel,357.1
897,Team Golf New England Patriots Putter Grip,40,Accessories,6,Outdoors,24.99
37,adidas Kids' F5 Messi FG Soccer Cleat,3,Baseball & Softball,2,Fitness,34.99
172,Nike Women's Tempo Shorts,9,Cardio Equipment,3,Footwear,30.0
810,Glove It Women's Mod Oval Golf Glove,36,Golf Balls,6,Outdoors,19.99
821,Titleist Pro V1 High Numbers Personalized Gol,37,Electronics,6,Outdoors,51.99
93,Under Armour Men's Tech II T-Shirt,5,Lacrosse,2,Fitness,24.99
1347,Baby sweater,60,Baby ,4,Apparel,59.08
305,Mio ALPHA Heart Rate Monitor/Sport Watch,38,Kids' Golf Clubs,6,Outdoors,199.0
1004,Field & Stream Sportsman 16 Gun Fire Safe,45,Fishing,7,Fan Shop,399.98
1346,Sports Books ,59,Books ,8,Book Shop,31.08
58,Diamondback Boys' Insight 24 Performance Hybr,4,Basketball,2,Fitness,299.99
311,Polar Loop Activity Tracker,38,Kids' Golf Clubs,6,Outdoors,109.95
303,Garmin Forerunner 910XT GPS Watch,38,Kids' Golf Clubs,6,Outdoors,399.99
1354,DVDs ,67,DVDs,9,Discs Shop,164.38
1348,CDs of rock,61,CDs ,9,Discs Shop,11.29
78,Nike Kids' Grade School KD VI Basketball Shoe,5,Lacrosse,2,Fitness,99.99
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,12,Boxing & MMA,3,Footwear,94.99
797,Hirzl Women's Soffft Flex Golf Glove,36,Golf Balls,6,Outdoors,17.99
981,The North Face Women's Recon Backpack,44,Hunting & Shooting,7,Fan Shop,99.0
1355,Lawn mower,68,Garden,6,Outdoors,532.58
135,Nike Dri-FIT Crew Sock 6 Pack,7,Hockey,2,Fitness,22.0
134,Nike Women's Legend V-Neck T-Shirt,7,Hockey,2,Fitness,25.0
845,Garmin Approach S4 Golf GPS Watch,38,Kids' Golf Clubs,6,Outdoors,299.99
982,insta-bed Neverflat Air Mattress,44,Hunting & Shooting,7,Fan Shop,149.99
625,Nike Men's Kobe IX Elite Low Basketball Shoe,29,Shop By Sport,5,Golf,199.99
1359,Adult dog supplies,72,Pet Supplies,11,Pet Shop,84.4
1356,First aid kit,69,Health and Beauty,12,Health and Beauty ,293.04
607,Garmin Approach S3 Golf GPS Watch,41,Trade-In,6,Outdoors,249.99
1358,Rock music,71,Music,9,Discs Shop,260.65
1362,Fighting video games,75,Video Games,9,Discs Shop,39.75
295,Fitbit The One Wireless Activity & Sleep Trac,38,Kids' Golf Clubs,6,Outdoors,99.95
127,Stiga Master Series ST3100 Competition Indoor,7,Hockey,2,Fitness,329.99
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,4,Basketball,2,Fitness,299.99
35,adidas Brazuca 2014 Official Match Ball,3,Baseball & Softball,2,Fitness,159.99
858,GolfBuddy VT3 GPS Watch,38,Kids' Golf Clubs,6,Outdoors,199.99
860,Bushnell Pro X7 Jolt Slope Rangefinder,38,Kids' Golf Clubs,6,Outdoors,599.99
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,10,Strength Training,3,Footwear,189.0
19,Nike Men's Fingertrap Max Training Shoe,2,Soccer,2,Fitness,124.99
226,Bowflex SelectTech 1090 Dumbbells,11,Fitness Accessories,3,Footwear,599.99
208,SOLE E35 Elliptical,10,Strength Training,3,Footwear,1999.99
793,Hirzl Women's Hybrid Golf Glove,36,Golf Balls,6,Outdoors,14.99
792,Hirzl Men's Hybrid Golf Glove,36,Golf Balls,6,Outdoors,14.99
786,TaylorMade 2014 Purelite Stand Bag,35,Golf Gloves,6,Outdoors,179.99
778,Bag Boy Beverage Holder,35,Golf Gloves,6,Outdoors,24.99
777,Bag Boy M330 Push Cart,35,Golf Gloves,6,Outdoors,79.99
775,Clicgear 8.0 Shoe Brush,35,Golf Gloves,6,Outdoors,9.99
773,Titleist Small Wheeled Travel Cover,35,Golf Gloves,6,Outdoors,249.99
771,Clicgear Rovic Cooler Bag,35,Golf Gloves,6,Outdoors,39.99
768,Titleist Club Glove Travel Cover,35,Golf Gloves,6,Outdoors,299.99
743,Ogio Race Golf Shoes,34,Golf Bags & Carts,6,Outdoors,169.99
730,LIJA Women's Argyle Golf Polo,33,Golf Shoes,6,Outdoors,80.0
728,LIJA Women's Eyelet Sleeveless Golf Polo,33,Golf Shoes,6,Outdoors,65.0
725,LIJA Women's Button Golf Dress,33,Golf Shoes,6,Outdoors,108.0
724,LIJA Women's Mid-Length Panel Golf Shorts,33,Golf Shoes,6,Outdoors,100.0
715,TaylorMade Women's RBZ SL Rescue,32,Golf Apparel,6,Outdoors,129.99
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,32,Golf Apparel,6,Outdoors,119.99
703,Top Flite Women's 2014 XL Hybrid,32,Golf Apparel,6,Outdoors,19.99
691,MDGolf Pittsburgh Penguins Putter,31,Women's Golf Clubs,6,Outdoors,79.99
677,TaylorMade White Smoke IN-12 Putter,31,Women's Golf Clubs,6,Outdoors,99.99
671,Cleveland Golf Collegiate My Custom Wedge 588,31,Women's Golf Clubs,6,Outdoors,209.99
666,Merrell Men's All Out Flash Trail Running Sho,30,Men's Golf Clubs,6,Outdoors,109.99
652,Merrell Women's Grassbow Sport Waterproof Hik,30,Men's Golf Clubs,6,Outdoors,129.99
647,Merrell Women's Siren Mid Waterproof Hiking B,30,Men's Golf Clubs,6,Outdoors,134.99
646,Merrell Women's Grassbow Sport Hiking Shoe,30,Men's Golf Clubs,6,Outdoors,99.99
1361,Toys ,74,Toys,7,Fan Shop,11.54
1073,Pelican Sunstream 100 Kayak,48,Water Sports,7,Fan Shop,199.99
1059,Pelican Maverick 100X Kayak,48,Water Sports,7,Fan Shop,349.99
1014,O'Brien Men's Neoprene Life Vest,46,Indoor/Outdoor Games,7,Fan Shop,49.98
